id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7624502,749461,1984,3763228551,9783763228553,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY75_.jpg,,,,ger,Büchergilde Gutenberg,false,153313,1485,4597605,12303187,2942180,65096,5:1373395|4:964597|3:429393|2:114850|1:59945|total:2942180,1949,6,8,4.18,56,0,"['3706', '410686', '749461', '7182211', '8788', '101894']","['George Orwell', 'Iring Fetscher', 'Günter Grass', 'Adolf Muschg', 'Erich Fromm', 'Heinz Ludwig Arnold']","['4.07', '3.92', '3.83', '3.38', '4.09', '3.90']",[],[],[],"Among the seminal texts of the 20th century, <i>Nineteen Eighty-Four</i> is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written."
985608,749461,The Günter Grass Reader,0151011761,9780151011766,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876771l/985608._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876771l/985608._SY75_.jpg,2004,12,6,,Houghton Mifflin Harcourt,false,971103,3,166,199,53,4,5:12|4:18|3:21|2:2|1:0|total:53,2004,12,6,3.75,45,4,"['749461', '1321876', '6464700', '157558', '25415']","['Günter Grass', 'Helmut Frielinghaus', 'William   Martin', 'Philip Boehm', 'Charles Simic']","['3.83', '3.72', '3.60', '4.03', '4.05']",[],[],[],"Selected from the vast range of his work, the writings included in this anthology trace Günter Grass's development as a writer, and with it the history of a nation coming to terms with its past. <br />Excerpts from Grass's major novels-from The Tin Drum to Crabwalk-are included, as are numerous short fictions, essays, and poems, many of which have never appeared before in English. Grass's gifts as an observer of and participant in the social and political landscape are justly celebrated, as are his inimitable sense of humor, his consistent defense of the disadvantaged, and his mastery of the forms of expression he has employed over the years. <br />For readers in search of an introduction to his work or for those familiar primarily with his novels, this diverse collection offers a fresh and stimulating introduction to one of the world's greatest living writers. <br />"
11985999,749461,Poems of Günter Grass,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310161590l/11985999._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310161590l/11985999._SY75_.jpg,1969,,,eng,Penguin Books,false,266122,6,109,150,42,5,5:8|4:13|3:17|2:3|1:1|total:42,1969,,,3.57,29,2,['749461'],['Günter Grass'],['3.83'],"['8282', '73086']","['Michael Hamburger', 'Christopher Middleton']","['4.29', '4.02']",
1301773,749461,Die Blechtrommel,3580653431,9783580653439,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,56018404,1,112,132,34,0,5:10|4:16|3:3|2:4|1:1|total:34,,,,3.88,34,0,"['587491', '749461']","['Thomas Rahner', 'Günter Grass']","['3.29', '3.83']",[],[],[],
436030,749461,Show Your Tongue,043618768X,9780436187681,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364397587l/436030._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364397587l/436030._SY75_.jpg,1989,7,10,,Secker & Warburg,false,903092,12,122,128,38,6,5:7|4:7|3:19|2:3|1:2|total:38,1988,1,1,3.37,26,4,['749461'],['Günter Grass'],['3.83'],['227126'],['J. Woods'],['4.02'],
397603,749461,Two States—One Nation?,0156920603,9780156920605,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,10,31,,Mariner Books,false,387066,7,83,108,31,4,5:4|4:13|3:8|2:6|1:0|total:31,1990,9,28,3.48,24,2,['749461'],['Günter Grass'],['3.83'],"['467284', '3973813']","['Arthur S. Wensinger', 'Krishna R. Winston']","['3.92', '3.58']","As the Berlin Wall crumbled and the two Germanys became one, Grass was one of a few who spoke out against reunification. In this collection of speeches and debates on the factors destined to reshape Europe, he is caustic, indignant, reflective, and compelling. Translated by Krishna Winston with A. S. Wensinger. A Helen and Kurt Wolff Book<br />"
974668,749461,In the Egg and Other Poems (Harvest Book ; 352),0156722399,9780156722391,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1977,4,6,,Mariner Books,false,959565,3,61,105,24,1,5:13|4:7|3:4|2:0|1:0|total:24,1977,1,1,4.38,21,1,['749461'],['Günter Grass'],['3.83'],[],[],[],This selection combines Selected Poems (1966) and New Poems (1968). The German originals face the translations. Translated by Michael Hamburger and Christopher Middleton. A Helen and Kurt Wolff Book<br />
1576042,749461,"On Writing and Politics, 1967-1983",0156687933,9780156687935,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,10,27,,Mariner Books,false,1568779,2,64,79,20,2,5:7|4:6|3:6|2:1|1:0|total:20,1985,,,3.95,18,1,"['749461', '3299']","['Günter Grass', 'Salman Rushdie']","['3.83', '3.83']",['38449'],['Ralph Manheim'],['4.11'],"Grass-novelist, poet, and graphic artist-is also a committed political activist. In this collection of essays, he takes on writing and politics with his accustomed verve and insight. Introduction by Salman Rushdie. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />"
19052864,749461,Ploughshares Winter 1985,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,27077944,1,34,70,15,0,5:11|4:3|3:1|2:0|1:0|total:15,1985,12,1,4.67,15,0,"['224672', '4187', '29574', '2533', '7363', '56964', '749461', '5835922', '99703', '155517']","['Stratis Haviaras', 'Primo Levi', 'Seamus Heaney', 'Graham Greene', 'Raymond Carver', 'James Merrill', 'Günter Grass', 'Naguib Mahfouz', 'Anna Akhmatova', 'Italo Calvino']","['4.21', '4.33', '4.11', '3.89', '4.20', '4.15', '3.83', '3.93', '4.31', '4.02']",[],[],[],"An issue of Ploughshares from Winter 1985, guest-edited by Stratis Haviaras. Ploughshares, a journal of new writing, is guest-edited serially by prominent writers who explore different personal visions, aesthetics, and literary circles.<br /><br />This classic issue, guest-edited by poet Stratis Haviaras, features international writing by a number of world masters, including Italo Calvino, Primo Levi, Graham Greene, and Seamus Heaney, with art by Paul Hannigan. It also contains translations of work by Anna Akhmatova, Naguib Mahfouz, Andre Breton, C. P. Cavafy, and many other brilliant writers, past and present, from around the globe. <br /><br />Full Table of Contents<br /><br />INTRODUCTION<br />Stratis Haviaras<br /><br />PROSE AND POETRY<br /><br />Alan Dugan, “Mock Translation from the Greek”<br />Odysseus Elytis, Three Poems<br />C.P. Cavafy, “Notes on Poetics and Ethics”<br />Yannis Ritsos, Eight Paper Poems<br />George Seferis, Two Prose Excerpts<br />Seamus Heaney, “The Ballad of the Bullets”<br />Italo Calvino, “A Letter from the Sahara”<br />Eugenio Montale, “Cuttlefish Bones”<br />Primo Levi, Three Poems<br />Cesare Pavese, Two Poems<br />Margherita Guidacci, “Anniversary with Agaves”<br />Rocco Scotellaro, Two Poems<br />Michael Milburn, “The Habit of Affection”<br />Raymond Carver, Six Poems<br />Miroslav Holub, Two Poems<br />Jaroslav Seifert, Three Poems<br />Jean Baptiste Racine, Two Scenes from Phaedra<br />Eugene Guillevic, Eight Fabliettes<br />Yves Bonnefoy, Six Poems<br />Jacques Rigaut, Three Prose Pieces<br />Andre Breton, “On the Road to San Romano”<br />Sven Birkerts, “An Open Invitation to Extra-terrestrials”<br />James Merrill, “Six Bits”<br />Ryszard Krynicki, Ten Poems<br />Stanislaw Baranczak, Two Poems<br />Gunther Grass, “Clearance Sale”<br />Georg Trakl, Two Poems<br />Karl Krolow, Four Poems<br />Friedrich Hebbel, Aphorisms and Observations<br />Robert Nozick, “Theological Explanations”<br />Abraham Sutskever, Poems from a 1984 Diary<br />Rami Ditzani, Two Poems<br />Miriam Oren, “Meeting”<br />Naum Korzhavin, “Childhood Has Ended”<br />Evgeny Vinokurov, “Adam”<br />Vyacheslav Ivanov, “To the Translator”<br />Anna Akhmatova, Five Poems<br />Vasko Popa, “Give Me Back My Rags”<br />Naguib Mahfouz, “Tales from Alleyways”<br />Wei Chuang, Fourteen Poems and Songs<br />Graham Greene, “A Weed Among the Flowers”<br />Istvan Vas, Two Poems<br />Deszo Tandori, “The Christmas of Long Walks”<br />Otto Orban, “The Technique”<br />Blaga Dimitrova, “Introduction to the Beyond”<br />Nicolai Kantchev, Five Poems<br />Volodia Teitelboim, “from Internal War”<br />Sophie De Mello Breyner Andresen, Nine Poems<br />Silvio Fiorani, “Suddenly One Summer”<br />Tomas Transtromer, “The Forgotten Commander”<br />Henrik Nordbrandt, Two Poems<br />Stein Mehren, Two Poems<br />Kirsti Simonsuuri, Two Poems<br />Hafiz, Four Ghazals<br />Alan Dugan, “On the Summer Goddess Who Should Be Nameless”"
1753916,749461,"Four Plays: Flood / Mister, Mister / Only Ten Minutes to Buffalo / The Wicked Cooks",0156331500,9780156331500,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1968,3,20,,Mariner Books,false,2142301,4,73,69,20,2,5:4|4:4|3:9|2:3|1:0|total:20,,,,3.45,18,1,"['749461', '43170']","['Günter Grass', 'Martin Esslin']","['3.83', '4.05']",[],[],[],"Flood; Mister, Mister; Only Ten Minutes to Buffalo; The Wicked Cooks. Short plays belonging to the Theatre of the Absurd. Introduction by Marin Esslin. Translated by Ralph Manheim and A. Leslie Willson. A Helen and Kurt Wolff Book.<br />"
12795421,749461,Pen America: A Journal for Writers and Readers: 14 The Good Books,1466262338,9781466262331,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,5,1,,Createspace Independent Publishing Platform,false,16489608,5,111,68,15,1,5:11|4:1|3:3|2:0|1:0|total:15,2011,5,1,4.53,1,0,"['7480645', '5252973', '76369', '1217', '3154596', '3472', '55397', '2238', '4391', '749461', '41028', '940046', '2760018', '205804', '93376', '4622980', '3505655', '12437', '22863', '202835', '6323']","['PEN America', 'Brian Dettmer', 'Jenny Holzer', 'Thomas Beller', 'Michael Moore', 'Margaret Atwood', 'Nadine Gordimer', 'Isabel Allende', 'Saul Bellow', 'Günter Grass', 'Grace Paley', 'Ludovic Debeurme', 'Najat El Hachmi', 'Ernesto Cardenal', 'Marcelo Figueras', 'Hervé Le Tellier', 'Asaf Schurr', 'Gary Shteyngart', 'Honor Moore', 'Amitava Kumar', 'Jessica Hagedorn']","['4.11', '4.16', '4.30', '3.51', '3.49', '4.03', '3.57', '3.97', '3.76', '3.83', '4.06', '3.74', '3.68', '4.11', '3.99', '3.69', '3.50', '3.47', '3.85', '3.35', '3.67']",[],[],[],"In The Good Books, over 50 writers-including Yiyun Li, Anne Fadiman, Karen Russell, Gary Shteyngart, David Shields, and many more-choose the works in translation they'd bring to a great global book swap. Also featured: talks and conversation by Kurt Vonnegut, Toni Morrison, Susan Sontag, Norman Mailer, and other participants in the 1986 PEN Congress. Plus fiction, poetry, essays, and comics from around the world."
2050781,749461,Selected Poems,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450064215l/2050781._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450064215l/2050781._SY75_.jpg,1966,,,,Harcourt,false,17894284,2,39,60,16,2,5:4|4:7|3:3|2:1|1:1|total:16,1966,,,3.75,14,2,['749461'],['Günter Grass'],['3.83'],"['8282', '73086']","['Michael Hamburger', 'Christopher Middleton']","['4.29', '4.02']",Poems in German with translations on facing pages by Michael Hamburger and Christopher Middleton. A Helen and Kurt Wolff book.<br />
6214459,749461,ای کاش,,9789649461069,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,,انتشارات مروارید؛ انتشارات فرهنگ تارا,false,6395051,1,49,59,19,2,5:2|4:5|3:7|2:3|1:2|total:19,2008,,,3.11,19,2,"['39326', '71601', '72654', '1462361', '749461', '155517', '2533', '31274', '2829159']","['Heinrich Böll', 'Nathalie Sarraute', 'Wolfgang Borchert', 'سیامک گلشیری', 'Günter Grass', 'Italo Calvino', 'Graham Greene', 'Alain Robbe-Grillet', 'م. ع. مهمان نوازان']","['3.87', '3.64', '4.03', '3.22', '3.83', '4.02', '3.89', '3.77', '3.11']",[],[],[],
15918881,749461,Paper Passion,3869305010,9783869305011,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346921976l/15918881._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346921976l/15918881._SX50_.jpg,2012,8,15,,Steidl and Wallpaper*,false,21668870,1,19,51,13,2,5:7|4:2|3:2|2:0|1:2|total:13,2012,8,15,3.92,13,2,"['6504382', '540779', '749461', '5963', '6520898']","['Geza Schoen', 'Gerhard Steidl', 'Günter Grass', 'Karl Lagerfeld', 'Tomy Chambers']","['3.92', '4.10', '3.83', '3.99', '3.92']",[],[],[],"Paper Passion fragrance by Geza Schoen, Gerhard Steidl, and Wallpaper* magazine, with packaging by Karl Lagerfeld and Steidl.<br /><br />“The smell of a freshly printed book is the best smell in the world.” Karl Lagerfeld<br /><br />This tells the story of a passion and a twisting plot to put the particular bouquet of freshly printed books in a bottle. Gerhard Steidl was first alerted to the importance of the smell of a book by Karl Lagerfeld, prompting a passion for paper and the composition of a scent on the pages of a book. To Wallpaper* magazine the pairing of the publisher with the perfumer seemed a natural partnership and so the idea for Paper Passion was born. Wallpaper* magazine commissioned master perfumer Geza Schoen to create a fragrance based on the smell of books to be part of the Wallpaper* magazine Handmade exhibition in Milan.<br /><br />This is an opportunity to celebrate all the gloriosensuality of books, at a time when many in the industry are turning against them. The idea is that is should relax you, like when you read a book, to a level of meditation and concentration. Paper Passion has evolved into something quite beautiful and unique. To wear the smell of a book is something very chic. Books are players in the intellectual world, but also in the world of luxury.<br /><br />Hidden inside the pages of a book, Paper Passion is accompanied by texts from Karl Lagerfeld, Günter Grass, Geza Schoen and Tony Chambers.<br /><br />“You have a book, you open it, there’s a bottle inside and it smells of a book. It might be quirky, but the idea has a simplicity, a linearity.” Geza Schoen"
2638069,749461,Ein Schnäppchen namens DDR. Letzte Reden vorm Glockengeläut,3423118253,9783423118255,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340033125l/2638069._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340033125l/2638069._SY75_.jpg,1999,10,1,ger,Deutscher Taschenbuch Verlag,false,2662788,2,23,51,13,1,5:4|4:4|3:5|2:0|1:0|total:13,1993,5,1,3.92,12,1,['749461'],['Günter Grass'],['3.83'],[],[],[],"Deutsche Einheit 1990 - fünf kritische Beiträge des Nobelpreisträgers für Literatur.<br /><br />Günter Grass hat sich immer als Verfassungspatriot begriffen. Die leichte Liebe zu ewigen Werten, die auch »national« heißen und sowieso schnell die Fahne wechseln, das ganze dröhnend aufgeblähte Vaterland waren und sind ihm fremd und viel zu dürftig. Sein Patriotismus stützt sich auf die beste Verfassung, die es in Deutschland je gegeben hat: das Grundgesetz.<br /><br />Mit der Einheit 1990 wurde es verletzt. Davon handeln die in diesem Buch gesammelten Reden eines »vaterlandslosen Gesellen«: im Februar des Einheitsjahres in der Evangelischen Akademie Tutzing gehalten oder im Oktober im Reichstag in Berlin vor den Fraktionen der Grünen und Bündnis 90."
35739,749461,Max: A Play,0156577828,9780156577823,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1972,3,15,,Mariner Books,false,35671,2,32,50,13,3,5:5|4:2|3:5|2:1|1:0|total:13,1970,,,3.85,12,3,['749461'],['Günter Grass'],['3.83'],"['101910', '38449']","['A. Leslie Willson', 'Ralph Manheim']","['3.79', '4.11']",A play that satirizes the political confusions of both youthful activists and middle-aged believers in gradual reform. Translated by A. Leslie Willson and Ralph Manheim. A Helen and Kurt Wolff Book.<br />
1978230,749461,"Günter Grass 'Katz und Maus': Inhalt, Hintergrund, Interpretation",3580633384,9783580633387,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109322l/1978230._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109322l/1978230._SY75_.jpg,1998,9,1,ger,Ramdohr-Verlag Dr. Mentor,false,2662767,1,22,49,15,0,5:1|4:7|3:4|2:1|1:2|total:15,1998,9,1,3.27,15,0,"['205515', '749461']","['Martin Neubauer', 'Günter Grass']","['3.60', '3.83']",[],[],[],
9697427,749461,Luogo eventuale,8877102373,9788877102379,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1301348639l/9697427.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1301348639l/9697427.jpg,,,,ita,,false,14585595,4,31,47,14,0,5:2|4:3|3:7|2:2|1:0|total:14,1992,5,,3.36,7,0,"['45711', '883906', '883905', '749461']","['Ingeborg Bachmann', 'Christine Koschel', 'Inge von Weidenbaum', 'Günter Grass']","['4.07', '4.27', '4.29', '3.83']",['1523360'],['Bruna Bianchi'],['3.67'],
3977564,749461,Fundsachen für Nichtleser,3882434775,9783882434774,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340090770l/3977564._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340090770l/3977564._SX50_.jpg,1997,1,1,ger,Steidl,false,4023340,4,22,46,11,1,5:6|4:2|3:2|2:1|1:0|total:11,1997,8,,4.18,9,1,['749461'],['Günter Grass'],['3.83'],[],[],[],
1717387,749461,"Gestern, Vor 50 Jahren: Ein Deutsch Japanischer Briefwechsel (German Edition)",3882433868,9783882433869,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,10,,ger,Steidl,false,1714717,3,22,45,11,0,5:4|4:4|3:3|2:0|1:0|total:11,1995,,,4.09,10,0,"['749461', '3439713']","['Günter Grass', 'Kenzaburō Ōe']","['3.83', '3.78']",[],[],[],"Zum 50. Jahrestag des Kriegsendes haben der 1935 geborene japanische Literaturnobelpreisträger Kenzaburo Oe und der 1927 in Danzig geborene Günter Grass einen Briefwechsel geführt. Zwei weltbekannte Autoren, zwei ""gebrannte Kinder"", deren Biographien und Werke untrennbar mit der Geschichte und Gegenwart ihrer Länder verbunden sind, schreiben über persönliche Erlebnisse und politische Hoffnungen.Günter Grass wurde am 16. Oktober 1927 in Danzig geboren, absolvierte nach der Entlassung aus amerikanischer Kriegsgefangenschaft eine Steinmetzlehre, studierte dann Grafik und Bildhauerei in Düsseldorf und Berlin. 1956 erschien der erste Gedichtband mit Zeichnungen, 1959 der erste Roman ""Die Blechtrommel"". 1999 wurde ihm der Nobelpreis für Literatur verliehen. Grass lebt in der Nähe von Lübeck."
1330427,749461,Günter Grass: Im Krebsgang. Lektüreschlüssel,3150153387,9783150153383,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1319911,2,29,44,14,0,5:1|4:5|3:4|2:3|1:1|total:14,2004,8,31,3.14,14,0,"['479269', '749461']","['Theodor Pelster', 'Günter Grass']","['3.32', '3.83']",[],[],[],
7113143,749461,"The Tin Drum, Part 2",1433289172,9781433289170,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,10,1,,Blackstone Audiobooks,false,55988594,4,28,42,11,0,5:2|4:5|3:4|2:0|1:0|total:11,,,,3.82,6,0,"['749461', '292394']","['Günter Grass', 'Paul Michael Garcia']","['3.83', '3.69']",[],[],[],"Here is a new translation of The Tin Drum, one that is faithful to Grass's style and rhythm, restores omissions, and reflects more fully the complexity of the original work. This is the story of Oskar Matzerath whose imaginative distortion and exaggeration of history reveals a startling portrayal of the human situation."
3075904,749461,Granta 12: The True Adventures of The Rolling Stones,0140075658,9780140075656,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419267335l/3075904._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419267335l/3075904._SX50_.jpg,1984,6,1,eng,Granta Books,false,3106933,1,39,41,12,2,5:1|4:5|3:5|2:0|1:1|total:12,1984,6,1,3.42,12,2,"['2606', '214245', '13450', '11164201', '85342', '6570', '22515', '128228', '7363', '7849', '1936842', '237106', '198949', '749461', '38831']","['Bill Buford', 'Peter Davis', 'Gabriel García Márquez', 'James Walcott', 'Bernard Crick', 'David Lodge', 'Mario Vargas Llosa', 'Stanley Booth', 'Raymond Carver', 'Richard Ford', 'Carolyn Osborn', 'Jayne Anne Phillips', 'David Caute', 'Günter Grass', 'Breyten Breytenbach']","['3.94', '4.13', '3.97', '3.42', '4.09', '3.80', '3.97', '4.11', '4.20', '3.72', '3.39', '3.55', '3.88', '3.83', '3.95']",[],[],[],"Stanley Booth was meant to be the authorised biographer of the Rolling Stones, but, shortly after he began writing in 1968, things started to go wrong. The American concert tour that he joined ended in murder at a race track in the Californian desert, and the time that followed – in which Booth was assaulted by Hell’s Angels, beaten up by American soldiers, run over by a lorry, imprisoned, and subjected to epileptic fits while trying to withdraw from drugs – was characterised only be confusion, loss and disillusionment. Completed fifteen years after it was begun, ‘The True Adventures of the Rolling Stones’ is only in part about the group of musicians it depicts. It is also a social history and a confession – a chronicle, in the tradition of Michael Herr’s Dispatches, of people united in a curious commitment to their own destruction.<br /><br /><br />Stanley Booth: The True Adventures of the Rolling Stones<br />Raymond Carver: The Cabin<br />Richard Ford: Winterkill<br />Carolyn Osborn: Cowboy Movie<br />Jayne Anne Phillips: Danner, 1965<br />David Caute: The Guardian and Sarah Tisdall<br />Günter Grass: Resistance<br />Breyten Breytenbach: Prison Scribe<br />Peter Davis: Christmas in Nicaragua<br />Gabriel Garcia Marquez: Julio Cortázar, 1914-84<br />James Walcott: New York"
43154711,749461,Unkenrufe,3763241027,9783763241026,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,66943133,3,15,38,10,2,5:2|4:5|3:2|2:1|1:0|total:10,,,,3.80,10,2,['749461'],['Günter Grass'],['3.83'],[],[],[],
36385294,749461,Nemačka priča,,9788680274065,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535275484l/36385294._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535275484l/36385294._SY75_.jpg,2017,,,srp,Ultimatum,false,58076038,1,12,32,9,0,5:3|4:1|3:3|2:2|1:0|total:9,,,,3.56,9,0,"['18474998', '8030528', '39848', '907927', '179391', '26853', '500054', '128607', '114738', '90174', '666279', '952101', '749461', '704105', '43219', '235662', '139629', '164786', '39326', '908640', '1541949', '942226', '134980', '187672', '757384', '151630', '596951', '377587', '18346740', '188893', '6530', '40055', '794999', '1026895', '16747', '16073', '854011', '1241900', '599971', '209634', '7745', '305463', '18346741', '523898', '50370', '783022', '161913', '147584']","['Rolf Schroers', 'Nikola B. Cvetković', 'Alexander Kluge', 'Antonio Fian', 'Arno Schmidt', 'Bertolt Brecht', 'Christa Reinig', 'Elfriede Jelinek', 'Erich Fried', 'Ernst Jandl', 'Franz Hohler', 'Günter Eich', 'Günter Grass', 'Günter Kunert', 'Gustav Meyrink', 'Hans Christoph Buch', 'Hansjörg Schneider', 'Heiner Müller', 'Heinrich Böll', 'Helga M. Novak', 'Helga Schubert', 'Herbert Heckmann', 'Herta Müller', 'Hubert Fichte', 'Jakov Lind', 'Johannes Bobrowski', 'Jürgen Becker', 'Kurt Marti', 'Manfred Wrembel', 'Marie Luise Kaschnitz', 'Max Frisch', 'Peter Bichsel', 'Peter Hertling', 'Reinhard Lettau', 'Robert Musil', 'Robert Walser', 'Robert Wolfgang Schnell', 'Ror Wolf', 'Rudolf Herfurtner', 'Stephan Hermlin', 'Thomas Bernhard', 'Ulla Berkéwicz', 'Vagelis Tsakiridis', 'Volker Braun', 'Walter Bauer', 'Wolfgang Deichsel', 'Wolfgang Ebert', 'Wolfgang Hildesheimer']","['3.54', '3.55', '3.91', '3.66', '4.10', '3.78', '3.88', '3.53', '4.26', '3.95', '3.70', '3.94', '3.83', '3.70', '3.88', '3.59', '3.60', '3.87', '3.87', '3.91', '3.63', '3.77', '3.61', '3.87', '3.88', '3.91', '3.79', '3.87', '3.56', '3.72', '3.76', '3.79', '3.56', '3.81', '4.01', '3.99', '4.18', '3.54', '3.62', '3.61', '4.06', '3.33', '3.56', '3.30', '4.48', '3.56', '3.42', '3.96']",[],[],[],
3812916,749461,Das Danzig-Sextett: 6 Romane in 2 Bänden: Die Blechtrommel/Katz und Maus/Hundejahre/Der Butt/Unkenrufe/Im Krebsgang,3865211828,9783865211828,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340096497l/3812916._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340096497l/3812916._SY75_.jpg,2006,1,,ger,Steidl,false,3857188,1,17,32,9,0,5:3|4:2|3:1|2:3|1:0|total:9,2006,1,1,3.56,9,0,['749461'],['Günter Grass'],['3.83'],[],[],[],
2050782,749461,New Poems,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536177643l/2050782._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536177643l/2050782._SX50_.jpg,1968,,,,Harcourt,false,2055740,2,15,29,8,0,5:1|4:4|3:2|2:1|1:0|total:8,1968,,,3.62,8,0,['749461'],['Günter Grass'],['3.83'],[],[],[],Poems in German with translations on facing pages by Michael Hamburger. A Helen and Kurt Wolff book.<br />
